CAS,chemical_name,n_species_observed,n_species_predicted,trad_mu,trad_sigma,hc5_traditional,hc5_mc_median,hc5_mc_lower,hc5_mc_upper,hc5_mc_ci_width,hc20_traditional,hc20_mc_median,hc20_mc_lower,hc20_mc_upper,hc20_mc_ci_width,hc50_traditional,hc50_mc_median,hc50_mc_lower,hc50_mc_upper,hc50_mc_ci_width,hc80_traditional,hc80_mc_median,hc80_mc_lower,hc80_mc_upper,hc80_mc_ci_width,hc95_traditional,hc95_mc_median,hc95_mc_lower,hc95_mc_upper,hc95_mc_ci_width
99-86-5,alpha-Terpinene,2,1267,,,,-1.6633009571115411,-1.8113764956313991,-1.5209953665707594,0.29038112906063973,,-0.6614616064004664,-0.7510684469751205,-0.5762234443502801,0.17484500262484048,,0.33033466256260513,0.25520595085656167,0.4075070256444699,0.15230107478790822,,1.3119921507082892,1.2184274241918633,1.400025714834677,0.18159829064281374,,2.279379966954682,2.1333168683311765,2.435824107006695,0.3025072386755183
17606-31-4,Bensultap,1,1267,,,,-2.4912937189527318,-2.7024223670313012,-2.3020472994027767,0.4003750676285245,,-1.1312951706705805,-1.2556136245755967,-1.0108437456843398,0.2447698788912569,,0.25208146513568847,0.14639048143886746,0.36188626011601194,0.21549577867714448,,1.6141461275857245,1.4954367481797992,1.7310998847153007,0.23566313653550153,,2.915843661511118,2.7258326229510432,3.1078689893050107,0.3820363663539674
141-66-2,Dicrotophos,8,1267,-0.34143200733446044,1.1979537075783024,-2.3118905081645953,-1.7345050469225005,-1.8659804216820817,-1.6005926696337918,0.2653877520482899,-1.3496552844697574,-0.7059521777898556,-0.7906943317360212,-0.6216089469639378,0.16908538477208346,-0.34143200733446044,0.3636061687310549,0.2875482169760134,0.43649743244900596,0.14894921547299256,0.6667912698008368,1.3474934896334052,1.2645205760333478,1.4262438700357742,0.16172329400242647,1.6290264934956737,2.2370489282938575,2.108734941843058,2.364472325123927,0.25573738328086915
400852-66-6,Mesosulfuron,1,1267,,,,-3.022569287166951,-3.223566805461608,-2.836556980050154,0.3870098254114538,,-1.716229495225643,-1.8297180119384155,-1.5942022922739203,0.23551571966449525,,-0.3873338805217181,-0.4867962679282558,-0.2831315629748247,0.20366470495343109,,0.9231355668956,0.8087997889509598,1.035966994047785,0.2271672050968251,,2.1803796267216593,1.9978803546174133,2.3737591232914843,0.375878768674071
5015-75-8,"Benzenesulfonic acid, 4-bromo-, sodium salt",1,1267,,,,-0.9788254652006297,-1.1627384644831376,-0.8053182478489087,0.35742021663422885,,0.32658153574277404,0.2087659363931785,0.44085686968423343,0.23209093329105493,,1.6427586558236766,1.539062766873976,1.7455483560060916,0.20648558913211557,,2.9330111662233307,2.823596747042574,3.0400993092432214,0.21650256220064756,,4.163512525893294,3.9830500816853944,4.356644413817992,0.3735943321325972
7745-89-3,3-Chloro-4-methylaniline hydrochloride,1,1267,,,,-1.5606279006760637,-1.7053904368589288,-1.410205070189165,0.2951853666697637,,-0.48665523698960866,-0.5819104810481632,-0.3922618132053439,0.1896486678428193,,0.5885197712676724,0.5108095251369962,0.671997673852874,0.16118814871587783,,1.6477512227453337,1.5497903504595862,1.7323768416556498,0.18258649119606352,,2.6586794906366644,2.5127237442222596,2.80694422776168,0.2942204835394202
110-19-0,Isobutyl acetate,1,1267,,,,-1.0683602557304128,-1.2352607456647746,-0.8976232783696655,0.33763746729510913,,0.14382421084927022,0.032744131217414436,0.25596019393004377,0.22321606271262934,,1.3668995331328384,1.2741655450248845,1.4693069312356193,0.19514138621073474,,2.5791425742645098,2.4691623779600036,2.6857445661462758,0.21658218818627217,,3.743595484577381,3.570958920916733,3.919235771129859,0.34827685021312593
545-06-2,Trichloroacetonitrile,1,1267,,,,-3.5342969429131177,-3.8330608496660363,-3.262432240896215,0.5706286087698214,,-1.571168416988406,-1.7677946225248526,-1.3930811697477565,0.3747134527770961,,0.4757748313537498,0.3196846493771306,0.6508077556418065,0.3311231062646759,,2.5232903155791035,2.3198487378542056,2.7064796823273456,0.38663094447313995,,4.456688155555696,4.176431925567117,4.74304792918024,0.5666160036131229
534-22-5,2-Methylfuran,1,1267,,,,-0.7005185742635328,-0.8800270226816548,-0.5213869119443364,0.3586401107373184,,0.5691609440076324,0.4536323283252912,0.6876986262527954,0.23406629792750422,,1.8371202121844052,1.743511587690438,1.9352252159519496,0.19171362826151173,,3.0917827597245804,2.979176511342507,3.1989480503353973,0.21977153899289048,,4.299092279604601,4.121991069986799,4.481690727586349,0.3596996575995499
34014-18-1,Tebuthiuron,3,1267,,,,-1.4469898384646167,-1.625568308424865,-1.2794208629032462,0.3461474455216189,,-0.208679546232179,-0.31940778544494414,-0.09882876477220112,0.22057902067274301,,1.0309446668712692,0.9406437915556334,1.1293407520004937,0.18869696044486028,,2.242932353549233,2.1350446990152414,2.351289920229468,0.21624522121422673,,3.398138333142929,3.2362266729056066,3.5795417079575422,0.3433150350519356
107-20-0,Chloroacetaldehyde,1,1267,,,,-1.9287932526576679,-2.1095187709108023,-1.7298003809250118,0.37971838998579055,,-0.6121519182370925,-0.7367654712805398,-0.48479526903630443,0.2519702022442354,,0.7336859389069674,0.6285713093298596,0.8410091960593622,0.2124378867295026,,2.0816927430163927,1.9620712675900909,2.199281344422602,0.23721007683251116,,3.3841415760120555,3.200804599916358,3.585211212247415,0.3844066123310568
35948-25-5,"6H-Dibenzo[c,e][1,2]oxaphosphinine 6-oxide",1,1267,,,,-2.57471887261109,-2.821841302352474,-2.3306008479732276,0.49124045437924657,,-0.891895249447275,-1.0467103036611605,-0.7258220026238941,0.3208883010372664,,0.8539456903691084,0.7115470247335898,0.9897618918536658,0.27821486712007604,,2.5894975245914584,2.431461367015768,2.7453846976877636,0.3139233306719955,,4.243206225685936,3.9977435695712997,4.497467935633049,0.49972436606174897
606-34-8,"Benzaldehyde, 2,4,6-trinitro-",1,1267,,,,-2.5726512904818857,-2.7724311821969394,-2.3716695450419794,0.40076163715496005,,-1.1919877373659378,-1.3200855271104375,-1.0626130358744181,0.25747249123601934,,0.22266022780500305,0.1092897371739529,0.3367241402426771,0.2274344030687242,,1.635146892613318,1.5027345377858192,1.7535282502540817,0.25079371246826243,,2.9710493312857844,2.770113300663472,3.1844369568229607,0.4143236561594885
35572-78-2,"2-Amino-4,6-dinitrotoluene",1,1267,,,,-1.4511892169519898,-1.5963459219078333,-1.3089608139619648,0.28738510794586847,,-0.418472951037522,-0.5058895433410459,-0.33022748025545196,0.1756620630855939,,0.6168229367990732,0.5380851850760723,0.6944158350378486,0.15633064996177637,,1.639775058885296,1.5459698625846585,1.724790219646117,0.17882035706145838,,2.6312885716547676,2.4795279908831644,2.78292581869099,0.30339782780782576
7440-28-0,Thallium,3,1267,,,,-1.3616343498158112,-1.4967641067093254,-1.2313140839375327,0.26545002277179264,,-0.42433617529588524,-0.5002539456194617,-0.3433078042397327,0.156946141379729,,0.4902065577918686,0.4229037124235574,0.5563867573471577,0.1334830449236003,,1.36914271704407,1.2945583211880474,1.4439429431179491,0.14938462192990176,,2.2144814596792832,2.0919258451249787,2.337575258315333,0.24564941319035416
79917-90-1,1-Butyl-3-methylimidazolium chloride,1,1267,,,,-1.7086894922506528,-1.903293948834428,-1.5141137173030625,0.3891802315313655,,-0.3185717264683926,-0.45884940679387926,-0.20174899076668837,0.2571004160271909,,1.1018490977706528,0.9926191932692046,1.2253285275397592,0.23270933427055462,,2.5156936259392184,2.384894408754365,2.6387790328959473,0.2538846241415822,,3.854042464989445,3.646184358901189,4.0547963369941575,0.40861197809296845
827-52-1,Cyclohexylbenzene,1,1267,,,,-2.6577989534804214,-2.8695849651928875,-2.45406112913904,0.41552383605384735,,-1.191031635741652,-1.323268138834485,-1.0502820010933431,0.2729861377411418,,0.3312039309918866,0.20375492518517904,0.45189469323872977,0.24813976805355073,,1.8474093055484988,1.7049989567294843,1.983015340210074,0.27801638348058977,,3.2894819827568074,3.07135163767258,3.510680678791167,0.43932904111858706
50-28-2,17beta-Estradiol,3,1267,,,,-3.52495857931884,-3.7686990558901843,-3.3085221929247903,0.46017686296539395,,-1.8998930853891167,-2.0646510255873767,-1.7428746099760624,0.3217764156113143,,-0.21228827796013294,-0.34822212890805704,-0.07298916927808259,0.27523295962997446,,1.475964771179581,1.3275244772755752,1.6208480869180826,0.29332360964250737,,3.083701189581752,2.8540428969013543,3.331059829477987,0.4770169325766327
123-30-8,4-Aminophenol,1,1267,,,,-2.0033335650113164,-2.1705147252044497,-1.8229137047928405,0.3476010204116091,,-0.7646625192305203,-0.8794795613719627,-0.6496442718921306,0.22983528947983212,,0.49743986816875363,0.39618026560452624,0.5957851768654212,0.19960491126089497,,1.749525602185328,1.62445258843132,1.8630976373136774,0.2386450488823575,,2.942432005886007,2.7627364201744538,3.128541384043954,0.36580496386950045
37841-25-1,"2,4,6-trinitrobenzonitrile",1,1267,,,,-2.435413554366882,-2.6272571174854864,-2.243823513927761,0.38343360355772527,,-1.0942607972941523,-1.2160510091450873,-0.9676653380374819,0.24838567110760545,,0.283124474851744,0.17227357240404,0.3948892960256907,0.22261572362165066,,1.6576772892220835,1.533884298336375,1.7743672201057232,0.24048292176934827,,2.9558806907031814,2.757375422116391,3.1472857763499364,0.3899103542335456
10043-52-4,Calcium chloride,11,1267,3.3117556116743434,0.5379939004411003,2.42683439325603,0.7366742527121894,0.5686577970431802,0.8881151509946256,0.31945735395144537,2.858968521530401,1.8793431899843804,1.781874782111963,1.9730923977106816,0.19121761559871864,3.3117556116743434,2.980725862781192,2.9039043460950347,3.0615087665765195,0.15760442048148482,3.7645427018182858,4.020284636440928,3.929092756112076,4.1059142548137135,0.17682149870163766,4.196676830092656,5.023506757498412,4.884037433811234,5.154610860554958,0.27057342674372364
5989-27-5,D-Limonene,3,1267,,,,-1.991246846982515,-2.158557927627249,-1.8394142553130277,0.31914367231422114,,-0.8474605836598298,-0.9498483545177426,-0.7401164812583108,0.20973187325943188,,0.3092608483106478,0.22124622766046256,0.3990642160724463,0.17781798841198374,,1.4650575157226797,1.35932934821104,1.5649712892577154,0.20564194104667544,,2.585525208684639,2.4266828119723054,2.7587222038738246,0.3320393919015192
31430-15-6,Flubendazole,1,1267,,,,-2.6186816023027,-2.774203068974385,-2.4704522892613228,0.3037507797130621,,-1.5095115738841587,-1.612658619955554,-1.4111841210640523,0.2014744988915016,,-0.36438795926903805,-0.45265607127785074,-0.27607694400404004,0.1765791272738107,,0.7797588997886569,0.6734427320944399,0.8765581945380301,0.20311546244359013,,1.8890541573624051,1.7318601407523488,2.049050439773932,0.31719029902158336
