CAS,chemical_name,n_species_observed,n_species_predicted,hc5_traditional,hc5_trad_mu,hc5_trad_sigma,hc5_mc_median,hc5_mc_lower_95,hc5_mc_upper_95,hc5_mc_ci_width
555-37-3,Neburon,2,1267,,,,-2.505313399194161,-2.6733723647432153,-2.3483462889902533,0.32502607575296194
77-75-8,3-Methyl-1-pentyn-3-ol,9,1267,2.79554319316489,2.9196226582067157,0.07543495847213524,0.3101087131351098,0.1787355707332649,0.45447196320914335,0.27573639247587844
95-76-1,"3,4-Dichloroaniline",15,1267,-0.21296472125404187,0.5791668932143605,0.4815818267893646,-1.280356240617348,-1.4085309452558927,-1.1582992871951394,0.2502316580607533
584-08-7,"Carbonic acid, dipotassium salt",3,1267,,,,-0.21828345601746135,-0.40657057030256555,-0.04148233835440565,0.36508823194815987
64-19-7,Acetic acid,9,1267,1.344742113612003,1.9780501981651137,0.38502397670901994,-0.26110737608938184,-0.4007055761130429,-0.11786490121269692,0.282840674900346
2150-47-2,"Methyl 2,4-dihydroxybenzoate",1,1267,,,,-1.156322418155008,-1.309017683406336,-1.010282191120644,0.29873549228569196
7727-21-1,Potassium persulfate,6,1267,1.7787749483985273,2.48275649505604,0.4279903908302485,-0.6851684149206076,-0.8676420767244044,-0.5081926854525382,0.35944939127186626
60-82-2,Phloretin,1,1267,,,,-2.903341242665836,-3.1498751070813427,-2.6781013917987044,0.47177371528263823
13746-66-2,Potassium ferricyanide,2,1267,,,,-1.7909512203729876,-1.9994510236928984,-1.5922854069069954,0.407165616785903
153719-23-4,Thiamethoxam,5,1267,-0.3353203445220565,1.356139293346203,1.028334442745015,-1.0027784074427832,-1.1418464702915991,-0.868820949940971,0.2730255203506281
117718-60-2,Thiazopyr,1,1267,,,,-2.148318510783055,-2.311715759224378,-1.997524600336038,0.3141911588883399
13171-21-6,Phosphamidon,26,1267,-2.154977716793745,0.23885478825812662,1.4553468258987494,-2.0726338343180637,-2.214683651826951,-1.9240463084759813,0.2906373433509697
58-22-0,Testosterone,1,1267,,,,-2.6303812315916417,-2.841397429544097,-2.4387087936919376,0.4026886358521593
59417-74-2,"Phosphoric acid, (O,O-dimethyl) O-(3-formyl-4-nitrophenyl) ester",1,1267,,,,-2.506970944518056,-2.712307713486006,-2.315434640102279,0.3968730733837269
14088-71-2,Proclonol,1,1267,,,,-2.558107963941173,-2.736396692177805,-2.3802032027378575,0.35619348943994744
95-92-1,Diethyl oxalate,1,1267,,,,-1.0841868691284016,-1.2523591726293648,-0.9068869792510825,0.3454721933782823
107-27-7,Chloroethylmercury,2,1267,,,,-2.5194214017123504,-2.667240376007185,-2.371580599831887,0.29565977617529793
99300-78-4,Venlafaxine hydrochloride,1,1267,,,,-2.8680921492723703,-3.104430037118561,-2.6565806793090543,0.44784935780950663
2675-77-6,Chloroneb,1,1267,,,,-1.7406196388016943,-1.9058640228517745,-1.5863896716678625,0.319474351183912
74261-65-7,4-Azidophenylisothiocyanate,1,1267,,,,-2.8507638422200916,-3.080959166758284,-2.6534374275698553,0.42752173918842873
73250-68-7,Mefenacet,1,1267,,,,-3.2667404323405584,-3.4889327454406884,-3.059206002340171,0.4297267431005176
825-44-5,"Benzo(b)thiophene 1,1-dioxide",1,1267,,,,-2.150154958481984,-2.3682660861131954,-1.9464706854349811,0.4217954006782143
85721-33-1,Ciprofloxacin,2,1267,,,,-1.6079153532072568,-1.7810429805480859,-1.4366902315313677,0.3443527490167182
51590-67-1,Monobutyltin oxide,1,1267,,,,-2.2045771793662796,-2.419154649369544,-1.9878070018043321,0.43134764756521204
19398-13-1,Fenoprop-butotyl,9,1267,-0.9463144420022678,0.31707156692959004,0.768084155471866,-2.0904755829386286,-2.2509842677247263,-1.9449991910893274,0.30598507663539887
1897-45-6,Chlorothalonil,20,1267,-2.043554929648637,-1.1831873656820553,0.5230663384687693,-2.702941723702665,-2.8278125966107877,-2.5919031618181703,0.2359094347926174
634-93-5,"2,4,6-Trichloroaniline",1,1267,,,,-2.754950255477712,-2.9847446389867036,-2.544785123452746,0.43995951553395773
7783-06-4,Hydrogen sulfide,7,1267,-2.5840303104519022,-1.5724764971375538,0.6149810516508603,-3.122641366230109,-3.253027546506224,-2.9778383926973593,0.2751891538088649
646-06-0,"1,3-Dioxolane",2,1267,,,,0.11941291268424414,-0.062234356925660574,0.31667702830659233,0.37891138523225293
8011-60-7,AGN-PC-0JKHRX,1,1267,,,,-4.653180919745157,-4.920762359472296,-4.410338278952011,0.5104240805202851
60-35-5,Acetamide,1,1267,,,,-0.1940888729385437,-0.40314983826833906,0.02015867337462619,0.42330851164296524
6972-05-0,"1,1-Dimethyl-2-thiourea",1,1267,,,,-1.4702742198033336,-1.6649476410092272,-1.2657216237031235,0.39922601730610374
518-47-8,Fluorescein sodium,6,1267,2.4655732647344415,3.1186891660626714,0.3970662742427102,-0.08844830875723086,-0.26036038843250575,0.09013485914650128,0.350495247579007
115-31-1,Thanite,2,1267,,,,-2.033005452664952,-2.1603666773601238,-1.9128107850357836,0.24755589232434017
43210-67-9,Fenbendazole,1,1267,,,,-2.8815975895114896,-3.049115307288498,-2.7378724669070533,0.31124284038144445
13071-11-9,Dexpropranolol hydrochloride,2,1267,,,,-3.460220232851163,-3.653004609531668,-3.2663391334743905,0.3866654760572774
311-45-5,Paraoxon,2,1267,,,,-3.3701027901255602,-3.5244704881021867,-3.2223157586343896,0.3021547294677971
118-96-7,"2,4,6-Trinitrotoluene",7,1267,0.12455413983902708,0.5106586546852842,0.234734877632761,-1.2426262724880957,-1.361828622608826,-1.1352835241189583,0.2265450984898678
98-06-6,tert-Butylbenzene,1,1267,,,,-1.7533260688899888,-1.9558098793886805,-1.56879152532973,0.38701835405895046
58-73-1,Diphenhydramine,1,1267,,,,-2.5079442706340638,-2.718165240052048,-2.310632495727823,0.40753274432422515
5567-15-7,C.I. Pigment Yellow 83,3,1267,,,,-2.698909503250725,-2.9279660037422266,-2.485469602519487,0.4424964012227397
886-50-0,Terbutryn,8,1267,-0.34487688660640137,0.8125841755581851,0.7036863604148129,-2.103847759147796,-2.25362516095437,-1.9576145912092724,0.29601056974509743
5407-98-7,Cyclobutyl phenyl ketone,1,1267,,,,-2.3701873720240645,-2.589514699986004,-2.162968378780809,0.426546321205195
82560-54-1,Benfuracarb,1,1267,,,,-3.212604474124593,-3.412480857736284,-3.0213287866617167,0.3911520710745675
825-90-1,Monosodium 4-phenolsulfonate,1,1267,,,,-0.461102353736899,-0.6446957335209189,-0.2789613074503825,0.3657344260705364
106-46-7,"1,4-Dichlorobenzene",13,1267,-0.19103530700658422,0.8249202863522413,0.617657143901473,-1.22871776804186,-1.3659151452397325,-1.1014246522598168,0.26449049297991567
123-72-8,Butyraldehyde,2,1267,,,,-0.8161124898153035,-0.9717378090720916,-0.6582146285359413,0.31352318053615036
629-03-8,"1,6-Dibromohexane",1,1267,,,,-2.5368788403992735,-2.7440013315799012,-2.3418504256511867,0.4021509059287145
4779-86-6,"1-Butanethiol, sodium salt",1,1267,,,,-1.9438695342397687,-2.13407268989939,-1.745790189462696,0.3882825004366939
3811-49-2,Dioxabenzofos,1,1267,,,,-2.2517273690126385,-2.4488877360087753,-2.0654341320966534,0.3834536039121219
6221-88-1,(Dodecyloxy)trimethylsilane,1,1267,,,,-3.909574448395941,-4.171893913866004,-3.65577858023935,0.516115333626654
35575-96-3,Azamethiphos,2,1267,,,,-3.951857237545341,-4.08452830613207,-3.8240155240881726,0.26051278204389705
93-07-2,"Benzoic acid, 3,4-dimethoxy-",1,1267,,,,-2.0444012734924466,-2.2863818598962493,-1.8193718018914886,0.4670100580047607
2527-66-4,UNII-81PV9X5Y68,1,1267,,,,-2.0305404523753134,-2.1836076610999973,-1.8800895453054443,0.303518115794553
2498-66-0,"7,12-Benz(a)anthraquinone",1,1267,,,,-5.055268212996532,-5.392890439436766,-4.723712405464577,0.6691780339721882
7005-72-3,1-Chloro-4-phenoxybenzene,1,1267,,,,-2.1980344161714327,-2.3663550397763906,-2.034584727383332,0.33177031239305865
82-43-9,"1,8-Dichloroanthraquinone",1,1267,,,,-2.996069475974557,-3.2147179273455992,-2.7864628277767247,0.42825509956887453
7785-70-8,(+)-alpha-Pinene,2,1267,,,,-2.3124946778638833,-2.465988688121286,-2.156173870683298,0.3098148174379882
950-37-8,Methidathion,9,1267,-2.439282762538705,-0.4693439962224407,1.1976377314298146,-2.9406719355041453,-3.0774597703427995,-2.8000761942434793,0.2773835760993202
103361-09-7,Flumioxazin,1,1267,,,,-2.470157674691797,-2.6585775976670107,-2.2897268890804923,0.36885070858651847
