CAS,chemical_name,n_species_observed,n_species_predicted,hc5_traditional,hc5_trad_mu,hc5_trad_sigma,hc5_mc_median,hc5_mc_lower_95,hc5_mc_upper_95,hc5_mc_ci_width
112-73-2,Diethylene glycol dibutyl ether,1,1267,,,,-0.932980519154303,-1.0817554502432236,-0.7822673079564706,0.299488142286753
17804-35-2,Benomyl,4,1267,,,,-1.7506943965773947,-1.9014112387660669,-1.61637180250927,0.28503943625679695
144-41-2,Morphothion,1,1267,,,,-2.5159472326886814,-2.7155171229265878,-2.3271947247234226,0.38832239820316516
57-62-5,Chlortetracycline,3,1267,,,,-1.1791592329746372,-1.3473062496387025,-1.01740198884691,0.3299042607917926
2058-46-0,Oxytetracycline hydrochloride,3,1267,,,,-1.1592958927851869,-1.3267815820731579,-0.9953141024617312,0.33146747961142664
104-20-1,4-(4-Methoxyphenyl)-2-butanone,1,1267,,,,-2.7380066855443763,-2.981276773832868,-2.494694298456449,0.48658247537641897
72-43-5,Methoxychlor,39,1267,-2.852894976318482,-1.7398383617788307,0.6766903731139653,-3.4276909830735596,-3.5344060599708698,-3.310977533770468,0.22342852620040166
7773-01-5,Manganese(II) chloride,5,1267,0.9618779089091631,2.098328050195842,0.6909126275223315,-0.4321619849053041,-0.5841038579667384,-0.2821409333259019,0.30196292464083646
96-23-1,"1,3-Dichloro-2-propanol",1,1267,,,,-0.8941121715779763,-1.070597793735672,-0.7180092992073204,0.3525884945283517
634-83-3,"2,3,4,5-Tetrachloroaniline",1,1267,,,,-2.6819453303354366,-2.873128454074072,-2.5060778136257076,0.36705064044836444
1570-64-5,4-Chloro-2-methylphenol,1,1267,,,,-1.8596580927951687,-1.9996682965168522,-1.7203384843062803,0.27932981221057185
2050-47-7,"4,4'-Dibromodiphenyl ether",1,1267,,,,-3.460647083374038,-3.671177312381915,-3.2625240833851388,0.40865322899677636
131341-86-1,Fludioxonil,1,1267,,,,-2.128125121559612,-2.2729468849344476,-1.992383739496023,0.28056314543842453
112-13-0,Decanoyl chloride,1,1267,,,,-2.4774754145246103,-2.6854115998310557,-2.2838906232916596,0.4015209765393961
95-57-8,2-Chlorophenol,8,1267,0.48789659702263677,0.990923161187458,0.30581843631710687,-0.7468701103704597,-0.860837477231862,-0.6336217024797753,0.22721577475208665
17606-31-4,Bensultap,1,1267,,,,-2.4768569989829503,-2.6806539197597727,-2.290487725909959,0.39016619384981377
680-31-9,Hexamethylphosphoramide,1,1267,,,,-2.5061887312508,-2.787408327432159,-2.235957341647714,0.5514509857844447
82-66-6,Diphacinone,1,1267,,,,-2.098709446645735,-2.299127035906213,-1.910643014073577,0.388484021832636
91-20-3,Naphthalene,13,1267,-0.32672228035259365,0.5832915249092262,0.5532491100429494,-1.2186182987287464,-1.326770624521702,-1.1037596506685134,0.22301097385318847
87-90-1,Symclosene,1,1267,,,,-2.197480265978748,-2.335002947933695,-2.0597586688228744,0.2752442791108205
124-18-5,Decane,1,1267,,,,-2.161810575461442,-2.3922224869403013,-1.9570134894479438,0.4352089974923574
19666-30-9,Oxadiazon,7,1267,-1.0733403935216617,0.08411153039440951,0.7036808047541965,-2.278809259871397,-2.4321599639453377,-2.1328485700078215,0.29931139393751627
42017-89-0,Fenofibric acid,1,1267,,,,-2.8531175488555522,-3.075559624231588,-2.6369672941759443,0.4385923300556436
124-11-8,1-Nonene,2,1267,,,,-1.5018892063103202,-1.6505198122091655,-1.3560820768198834,0.2944377353892822
131807-57-3,Famoxadone,1,1267,,,,-3.6461312968942794,-3.808404928668769,-3.484215779720337,0.32418914894843187
99-08-1,3-Nitrotoluene,4,1267,,,,-1.0161410801394029,-1.1519325120694233,-0.88437813506827,0.26755437700115325
628-76-2,"1,5-Dichloropentane",1,1267,,,,-1.5502003129731992,-1.7146196435404213,-1.377164760375261,0.33745488316516026
94-81-5,MCPB,1,1267,,,,-1.6593034758980796,-1.8161532336152717,-1.503554768333849,0.31259846528142265
636-30-6,"2,4,5-Trichloroaniline",3,1267,,,,-1.7633971508167392,-1.8953616418964265,-1.6308860071988474,0.2644756346975792
7727-43-7,Barium sulfate,2,1267,,,,-1.2135637356483924,-1.4054183947380001,-1.0298605930948472,0.3755578016431529
1837-57-6,Ethacridine lactate,1,1267,,,,-2.4121441801043986,-2.5755591594718186,-2.2488607773390625,0.32669838213275604
77-48-5,"1,3-Dibromo-5,5-dimethylhydantoin",1,1267,,,,-2.424543540531941,-2.5793276430185887,-2.27229325723033,0.3070343857882589
541-73-1,"1,3-Dichlorobenzene",7,1267,0.3902083729702249,0.9091385292213534,0.3154871337779153,-0.9023277935820475,-1.0373241134624853,-0.7747533289374005,0.26257078452508487
95-14-7,"1,2,3-Benzotriazole",1,1267,,,,-1.413836978219173,-1.6067713037306184,-1.2180995247106623,0.3886717790199561
640-15-3,Thiometon,5,1267,-0.0692419502835443,0.6410769261707229,0.43184321377626345,-1.830052798776049,-1.9894897498056874,-1.6793765769110323,0.3101131728946551
28382-15-2,"Maleic hydrazide, potassium salt",1,1267,,,,-1.7689756304404471,-2.0127352973837,-1.5321392212027933,0.4805960761809067
79-07-2,Chloroacetamide,1,1267,,,,-2.0116029773234905,-2.249083111947035,-1.7893732428396907,0.45970986910734424
67-36-7,p-Phenoxybenzaldehyde,2,1267,,,,-1.7551944946716667,-1.911093092780234,-1.6097955042897147,0.30129758849051935
84-74-2,Dibutyl phthalate,10,1267,-0.2394370116823395,0.19939106859544203,0.26678852943960346,-1.6403980763077817,-1.7802778167913342,-1.5081121265850816,0.2721656902062526
619-45-4,"Benzoic acid, 4-amino-, methyl ester",1,1267,,,,-2.3155547276462705,-2.544914742873192,-2.0860206986038303,0.45889404426936187
34256-82-1,Acetochlor,7,1267,-1.8849643066061945,-0.12522529461988371,1.0698453547187439,-2.040605588275156,-2.1871016988839687,-1.9029719201689448,0.2841297787150239
131-56-6,"2,4-Dihydroxybenzophenone",1,1267,,,,-2.1214700148362917,-2.3136860955438703,-1.9356555997290532,0.37803049581481707
117-12-4,"1,5-Dihydroxyanthraquinone",1,1267,,,,-3.049902664418097,-3.289991629859165,-2.8142334018426043,0.47575822801656065
100-83-4,"Benzaldehyde, 3-hydroxy-",1,1267,,,,-1.3733268211684833,-1.5496598194295683,-1.184558458578785,0.3651013608507834
91-53-2,Ethoxyquin,1,1267,,,,-2.306456725080592,-2.4991912405161956,-2.1177562161414505,0.3814350243747451
126-11-4,"2-(Hydroxymethyl)-2-nitro-1,3-propanediol",1,1267,,,,-0.9066195668599296,-1.0798947331487383,-0.7309533730175279,0.34894136013121035
56-55-3,Benz(a)anthracene,2,1267,,,,-3.120102248631272,-3.2913820316767413,-2.9580803451004165,0.33330168657632475
112-56-1,2-(2-Butoxyethoxy)ethyl thiocyanate,1,1267,,,,-1.2763688212394197,-1.4029341576872334,-1.1467041094757255,0.25623004821150785
35948-25-5,"6H-Dibenzo[c,e][1,2]oxaphosphinine 6-oxide",1,1267,,,,-2.5564048698119195,-2.802611595533484,-2.3230939065305014,0.47951768900298264
7772-99-8,Tin(II) chloride,3,1267,,,,-1.147622815173568,-1.2929717469622872,-0.9932517124825708,0.2997200344797164
7699-45-8,Zinc bromide,2,1267,,,,-1.9061673437175979,-2.0728632243140783,-1.7417771654506122,0.3310860588634661
3018-12-0,Dichloroacetonitrile,1,1267,,,,-2.0422601969898224,-2.2533481610789856,-1.8441089273010367,0.4092392337779489
877-43-0,"2,6-Dimethylquinoline",6,1267,0.5905178176380667,1.0143575153895672,0.25767623988344396,-0.8334753611419817,-0.9614083513908644,-0.7124615276708082,0.24894682372005628
591-54-8,4-Aminopyrimidine,1,1267,,,,-1.7231329184693966,-1.9630986987003098,-1.4841457540183685,0.4789529446819414
53042-79-8,"Hexadeca-7,11-dien-1-yl acetate (Z,E)-",1,1267,,,,-2.594945372644271,-2.7926042946161465,-2.405225279401961,0.3873790152141856
315-18-4,Mexacarbate,6,1267,-3.0059976216834476,-1.2093089438969205,1.0923091564788419,-1.9839418573412089,-2.1051959495438344,-1.8670347700772443,0.2381611794665901
135158-54-2,Acibenzolar-S-methyl,1,1267,,,,-1.8534350617311046,-2.009344724500572,-1.7119310684290565,0.2974136560715155
13472-45-2,Sodium tungstate,2,1267,,,,-1.1228738744046574,-1.2956893430522927,-0.9362893264952233,0.3594000165570693
119-64-2,Tetralin,1,1267,,,,-1.822504582833468,-2.013920514480303,-1.6399454468711328,0.3739750676091702
51-05-8,Procaine hydrochloride,1,1267,,,,-3.948520699396804,-4.26288919870421,-3.6371093593532384,0.6257798393509715
78-59-1,Isophorone,4,1267,,,,-0.16364054069343983,-0.2937398107062748,-0.030159190248453142,0.26358062045782166
121-75-5,Malathion,94,1267,-2.716599144582715,-0.5973196037283371,1.2884304755932556,-2.8323388036261172,-2.9932864177727483,-2.6903843301378383,0.30290208763491
23103-98-2,Pirimicarb,5,1267,-2.8274283530199593,0.6644331838019928,2.122901077400835,-1.3081039504502712,-1.4699364191636488,-1.1556419568742433,0.3142944622894055
52-68-6,Trichlorfon,35,1267,-2.272361500461424,0.2681457999326127,1.544518769796279,-2.6653854268082235,-2.8239571560258785,-2.51428031906723,0.30967683695864867
485-31-4,Binapacryl,1,1267,,,,-3.1804501384437867,-3.318021602027381,-3.0522951248990444,0.26572647712833675
1306-19-0,Cadmium oxide,1,1267,,,,-1.4229928517305175,-1.5667481191058044,-1.265963097399292,0.30078502170651245
57213-69-1,Triclopyr triethylamine salt,9,1267,1.5818386369625435,2.486491996046207,0.5499901901668439,-0.17750726417957263,-0.3355235400272864,-0.035683116972338,0.2998404230549484
111-87-5,1-Octanol,6,1267,0.2993616283750522,0.8058007943534148,0.3078931509042438,-0.8917541765522069,-1.0155945291836952,-0.7735973392553924,0.24199718992830277
31218-83-4,Propetamphos,2,1267,,,,-2.3659078155840065,-2.5142868962621696,-2.2243040953926263,0.2899828008695433
4403-90-1,D&C Green 5,1,1267,,,,-2.495851538882377,-2.7092540668913863,-2.3121966124268183,0.39705745446456797
51892-26-3,"2,4-Dichlorodiphenyl ether",1,1267,,,,-2.2970164577254018,-2.456073261242241,-2.1370123130939844,0.3190609481482567
115-20-8,"2,2,2-Trichloroethanol",4,1267,,,,0.053126426045045194,-0.07524659057463197,0.1871722352532654,0.2624188258278974
55290-64-7,Dimethipin,1,1267,,,,-1.6134387020451881,-1.7956544231618061,-1.435783760810097,0.35987066235170917
10045-94-0,Mercuric nitrate,2,1267,,,,-3.735295268473855,-3.9385605367675685,-3.530201713308438,0.40835882345913044
148788-55-0,Didecyl dimethyl ammonium carbonate,1,1267,,,,-4.300718986323196,-4.5311360017407445,-4.094308236598272,0.4368277651424721
5902-51-2,Terbacil,2,1267,,,,-0.6882721959003932,-0.8325588167626773,-0.5474019213842828,0.2851568953783945
104206-82-8,Mesotrione,1,1267,,,,-1.3157005182314112,-1.4987659544380039,-1.1312897888712723,0.36747616556673157
10025-65-7,Platinium dichloride,1,1267,,,,-3.760653187366196,-4.056903450371225,-3.4640301155139945,0.5928733348572304
2492-26-4,Sodium 2-mercaptobenzothiolate,4,1267,,,,-1.4495938548952276,-1.579281814763401,-1.3170286892518022,0.26225312551159874
91-94-1,"3,3'-Dichlorobenzidine",1,1267,,,,-1.919060943606056,-2.071939669752216,-1.7846670126735693,0.2872726570786466
7632-04-4,Sodium peroxoborate,1,1267,,,,-2.0424975029453414,-2.291996696759665,-1.780377205765138,0.5116194909945273
586-76-5,4-Bromobenzoic acid,1,1267,,,,-2.0557422597372397,-2.242012170853572,-1.8790126130730953,0.36299955778047677
10196-04-0,Ammonium sulfite,1,1267,,,,-1.037532079759095,-1.199486472045661,-0.8675701969356095,0.3319162751100515
76674-21-0,Flutriafol,1,1267,,,,-1.4070086882213784,-1.5791747485799454,-1.2577432942241045,0.321431454355841
139-13-9,Nitrilotriacetic acid,2,1267,,,,-0.36115500398736755,-0.5164108425773608,-0.19565074237638969,0.3207601002009711
2631-40-5,Isoprocarb,3,1267,,,,-1.600377811090886,-1.7351500587229352,-1.4632966153480855,0.2718534433748496
87-17-2,Salicylanilide,1,1267,,,,-3.430150516344011,-3.5961933824007843,-3.283160160734285,0.3130332216664993
13464-38-5,Trisodium arsenate,1,1267,,,,-1.932632100428806,-2.14303044750082,-1.744122272772575,0.398908174728245
5234-68-4,Carboxin,1,1267,,,,-1.3491510291655744,-1.4928988136015946,-1.2105157672191031,0.28238304638249145
100-10-7,4-Dimethylaminobenzaldehyde,1,1267,,,,-1.2105670215425446,-1.371132832988279,-1.0501785780225328,0.32095425496574626
773-64-8,"Benzenesulfonyl chloride, 2,4,6-trimethyl-",1,1267,,,,-3.5897743474711854,-3.8927870285597352,-3.2905847483250046,0.6022022802347307
100-66-3,Anisole,1,1267,,,,-1.0248683894263126,-1.1881701532226823,-0.8612043293212089,0.32696582390147333
56-37-1,Benzyltriethylammonium chloride,1,1267,,,,-2.385071496326603,-2.643041192757785,-2.1388393319317704,0.5042018608260146
75-09-2,Dichloromethane,10,1267,1.7499478307862173,2.2793213079276162,0.32183622206100204,-0.1794026139268329,-0.33217639226851126,-0.03404598659726899,0.29813040567124227
96-09-3,Styrene oxide,1,1267,,,,-1.1848868369867802,-1.3408833078128315,-1.0353691076913631,0.30551420012146835
2058-94-8,Perfluoroundecanoic acid,2,1267,,,,-2.8583005280821245,-3.0995297995268607,-2.6459067226419792,0.45362307688488146
1745-81-9,2-Allylphenol,3,1267,,,,-0.9994647711326079,-1.1290825851191217,-0.8701138389432708,0.258968746175851
5267-27-6,"Benzenamine, 4,6-dinitro-3-methyl- (9CI)",1,1267,,,,-2.0463529141600034,-2.2147440592101955,-1.872614040010913,0.34213001919928243
121451-02-3,Noviflumuron,1,1267,,,,-5.721896668393239,-6.016646003693322,-5.4375370214810195,0.5791089822123023
107-13-1,Acrylonitrile,14,1267,0.6886437356595501,1.1146719825099622,0.2590067832601016,-1.0671425511918322,-1.216220684159302,-0.9205409477786712,0.2956797363806307
7292-16-2,Propaphos,1,1267,,,,-2.8676412615865803,-3.062675634839141,-2.6751309689784075,0.38754466586073333
128-04-1,Sodium dimethyldithiocarbamate,1,1267,,,,-1.8362107187302956,-1.981813037130352,-1.6792664555544772,0.3025465815758748
78-94-4,Methyl vinyl ketone,1,1267,,,,-2.6481523406383234,-2.9019063490684482,-2.4049114821847732,0.496994866883675
22134-07-2,"2,4,6-Trichlorophenyl isothiocyanate",1,1267,,,,-3.957540653981818,-4.228575430081614,-3.691006817015509,0.5375686130661053
85-70-1,Butylphthalyl butylglycolate,1,1267,,,,-1.9387036914123597,-2.1102751300324685,-1.789957021170437,0.3203181088620315
7783-90-6,Silver chloride,3,1267,,,,-2.2185546161162013,-2.3457321577413026,-2.0867479620625295,0.25898419567877307
2395-96-2,9-Methoxyanthracene,1,1267,,,,-2.7945288115619658,-3.0028935769128964,-2.5863516273540967,0.41654194955879964
591-35-5,"3,5-Dichlorophenol",3,1267,,,,-1.529676933346416,-1.6527592376230131,-1.4191500787982203,0.23360915882479283
15920-93-1,beta-N-Methylamino-L-alanine,1,1267,,,,-1.7725180266893834,-1.9515813027326763,-1.5978516158844358,0.35372968684824047
2312-76-7,"Sodium 4,6-dinitro-2-methylphenolate",3,1267,,,,-2.607857198906199,-2.762617102219649,-2.4581446189014784,0.30447248331817045
634-90-2,"1,2,3,5-Tetrachlorobenzene",5,1267,-0.912117416870311,0.2544027542339225,0.7091939075857043,-1.8016645076551485,-1.9369764231927193,-1.663984079516388,0.2729923436763313
102-71-6,Triethanolamine,2,1267,,,,0.30702131536137145,0.1558046823647429,0.4650070766663062,0.30920239430156327
55723-99-4,(3-Chloro-1-propynyl)cyclohexane,1,1267,,,,-2.6459576278113497,-2.8790943906306214,-2.4212951642756266,0.4577992263549948
27774-13-6,Vanadyl sulfate,1,1267,,,,-1.3899295655486703,-1.5453493125318147,-1.240765143490685,0.3045841690411297
139-40-2,Propazine,2,1267,,,,-2.2632991001069795,-2.4442566975832722,-2.0776729208601386,0.3665837767231337
91-66-7,"N,N-Diethylaniline",3,1267,,,,-1.3778422562577195,-1.529077574681241,-1.2373179703125234,0.2917596043687176
58-27-5,Menadione,2,1267,,,,-2.3597376947097324,-2.514134252831432,-2.2016560093424338,0.31247824348899833
1135-99-5,"Stannane, dichlorodiphenyl-",1,1267,,,,-3.3913741968521656,-3.6274727788844903,-3.1591274923461747,0.46834528653831553
142-92-7,Hexyl acetate,1,1267,,,,-1.7100335296723985,-1.8730942055687905,-1.5561685748735676,0.31692563069522284
123-86-4,Butyl acetate,3,1267,,,,-0.6745071734595576,-0.8159619383985699,-0.5359878851984998,0.27997405320007007
14938-35-3,4-Pentylphenol,2,1267,,,,-1.8832399662007295,-2.0210468454519477,-1.7412328671021702,0.2798139783497775
335104-84-2,Tembotrione,1,1267,,,,-2.739126085376303,-2.9409808142158425,-2.551557949580897,0.3894228646349456
127-65-1,Chloramine-T,2,1267,,,,-1.4793693264917445,-1.6217116839118826,-1.347817801258842,0.2738938826530406
64359-81-5,"4,5-Dichloro-2-octyl-3(2H)-isothiazolone",3,1267,,,,-3.654353512121101,-3.8147277951331606,-3.5024441748901216,0.312283620243039
79-06-1,Acrylamide,8,1267,1.843270602987022,2.160191909526125,0.19267447348885144,-0.01144023386648746,-0.14597929798998677,0.12740858430846502,0.2733878822984518
10476-85-4,Strontium chloride,6,1267,1.687487239792684,2.0867374502542604,0.2427268930923271,-0.2125101645216823,-0.36874915465902436,-0.05427276422009682,0.31447639043892756
50540-61-9,"Phenol, 4-bromo-2,5-dichloro-, sodium salt",2,1267,,,,-2.424756161729067,-2.5831663832148513,-2.2734344561594306,0.30973192705542063
98-00-0,Furfuryl alcohol,1,1267,,,,-0.9830595078795918,-1.1669461193745858,-0.7901912013404045,0.37675491803418126
142459-58-3,Flufenacet,1,1267,,,,-2.209587034494284,-2.3779106853233922,-2.0422918437027247,0.3356188416206676
3547-04-4,"Benzene, 1,1'-ethylidenebis(4-chloro-",1,1267,,,,-4.671665066050207,-4.965665098023632,-4.368673741421073,0.5969913566025591
545-06-2,Trichloroacetonitrile,1,1267,,,,-3.5167790511499373,-3.8141880427348163,-3.246398293450758,0.5677897492840582
39515-40-7,Cyphenothrin,3,1267,,,,-4.230804394350515,-4.382086117775683,-4.089343472938306,0.2927426448373769
2698-41-1,(2-Chlorobenzylidene)propanedinitrile,3,1267,,,,-1.6876077657455275,-1.838184341039372,-1.5471481739114858,0.29103616712788605
13464-37-4,Trisodium arsenite,6,1267,-0.21344253806273195,0.7878466711851172,0.6087406154817626,-2.038939571110002,-2.231458578490717,-1.8506668501165526,0.3807917283741644
54965-21-8,Albendazole,1,1267,,,,-2.630532209934051,-2.7814734492952518,-2.4734916428794964,0.30798180641575534
7542-37-2,Paromomycin,1,1267,,,,-2.1638876688106805,-2.4149277391685264,-1.9136635634848047,0.5012641756837217
26628-22-8,Sodium azide,4,1267,,,,-1.595469840751182,-1.7477325919649205,-1.4552521210373035,0.292480470927617
475-20-7,Longifolene,1,1267,,,,-2.29398341879418,-2.4624227326355697,-2.1288577123011434,0.33356502033442625
2179-57-9,Diallyl disulfide,1,1267,,,,-2.701728431345548,-2.9551650542490395,-2.479974153562845,0.4751909006861945
762-75-4,tert-Butyl formate,1,1267,,,,-1.9238819070479218,-2.1750823454565444,-1.6855334346706161,0.4895489107859283
101-27-9,Barban,7,1267,-0.7456622642122194,-0.005524780761479791,0.4499716396178609,-2.0086340929522595,-2.1468378084496873,-1.8785807134517967,0.26825709499789063
804-63-7,Quinine sulfate (2:1),1,1267,,,,-2.6445184808831312,-2.8615885049802805,-2.452419490293584,0.40916901468669664
20816-12-0,Osmium tetroxide,1,1267,,,,-4.994383481399339,-5.36086425690371,-4.619282666469793,0.7415815904339169
7775-09-9,Sodium chlorate,5,1267,1.0800940434742927,2.833505193558561,1.0659982878440029,0.4834296529292806,0.3224550694659077,0.650804100935791,0.3283490314698833
544-40-1,Dibutyl sulfide,2,1267,,,,-1.8169461608643287,-1.9797120191885151,-1.6558565088695563,0.3238555103189589
7775-19-1,Sodium metaborate,1,1267,,,,-1.0245482868386688,-1.196609836341851,-0.8492249159409948,0.3473849204008561
94361-06-5,Cyproconazole,1,1267,,,,-1.5581913040621358,-1.7217341800682673,-1.399964215814357,0.32176996425391025
55179-31-2,Bitertanol,1,1267,,,,-2.3090353348191823,-2.4799369286441704,-2.143798640447707,0.3361382881964632
140-56-7,Fenaminosulf,2,1267,,,,-0.9323611656860173,-1.0872848042750194,-0.7873794002718995,0.29990540400311994
623-12-1,"Benzene, 1-chloro-4-methoxy-",1,1267,,,,-1.5085733743980119,-1.673659237533837,-1.3477176703505933,0.32594156718324374
90982-32-4,Chlorimuron-ethyl,1,1267,,,,-2.8769048756161517,-3.0797367934972297,-2.6803551899541906,0.3993816035430391
3064-70-8,Bis(trichloromethyl)sulfone,1,1267,,,,-2.8963581962318647,-3.0779381839425373,-2.712790728752533,0.36514745519000424
79-01-6,Trichloroethylene,14,1267,1.0071478091655794,1.4702514001306368,0.28154699201007993,-0.4098193974792829,-0.5361980866733633,-0.28449865581336353,0.2516994308599998
62-55-5,Thioacetamide,1,1267,,,,-1.2767456271461888,-1.486829421628095,-1.0776258897459121,0.40920353188218295
103-23-1,Di(2-ethylhexyl) adipate,1,1267,,,,-3.5055548083010963,-3.7556845308211955,-3.2791856064090736,0.4764989244121218
1126-46-1,Methyl p-chlorobenzoate,1,1267,,,,-1.3331734373074497,-1.4728490261897988,-1.1928925805254096,0.27995644566438926
35367-38-5,Diflubenzuron,6,1267,-4.461365604952894,-2.5043334057665168,1.189791095766672,-3.0394054481883774,-3.2605503275271737,-2.8491782598993494,0.4113720676278243
111-69-3,Hexanedinitrile,3,1267,,,,0.08569558867162952,-0.06292800537292223,0.23441289115822492,0.29734089653114715
2869-34-3,Tridecylamine,2,1267,,,,-3.10572833360641,-3.284847680175131,-2.947441497901125,0.33740618227400576
69409-94-5,Fluvalinate,5,1267,-3.7082730408770086,-2.5342588225918345,0.7137499647680263,-4.775629244398623,-4.921345246328274,-4.630637364261601,0.2907078820666724
123-08-0,p-Hydroxybenzaldehyde,2,1267,,,,-1.1626715338377296,-1.3225995720477886,-1.0067572086385055,0.31584236340928307
7718-54-9,Nickel(II) chloride,24,1267,-0.37186979370677387,1.0980766504392079,0.893663983262961,-1.351942848677377,-1.493502817895747,-1.2070791515936263,0.2864236663021207
10028-15-6,Ozone,2,1267,,,,-2.9091276239671755,-3.056125645713652,-2.75541954309028,0.30070610262337194
53716-50-0,Oxfendazole,1,1267,,,,-2.159299327069392,-2.3241042992528316,-2.009985006302207,0.31411929295062446
67375-30-8,alpha-Cypermethrin,7,1267,-4.226936199718874,-2.906979704069102,0.8024765693565958,-4.935292018706626,-5.154805602078098,-4.733336782347462,0.4214688197306362
100-61-8,N-Methylaniline,3,1267,,,,-1.3820967017387233,-1.5370861153037207,-1.2230245737951988,0.31406154150852195
100-17-4,p-Nitroanisole,1,1267,,,,-1.5241647888917509,-1.6967605504765308,-1.353267323053842,0.34349322742268895
240494-70-6,Metofluthrin,1,1267,,,,-4.931013313283759,-5.187387581988868,-4.676193576515739,0.5111940054731292
500-99-2,"Phenol, 3,5-dimethoxy-",2,1267,,,,-1.3447195137482415,-1.5066237025073241,-1.1927533694493313,0.31387033305799283
637-07-0,Clofibrate,1,1267,,,,-1.9149449441719848,-2.0872271278429744,-1.757431929954599,0.3297951978883753
107-59-5,"Acetic acid, chloro-, 1,1-dimethylethyl ester",1,1267,,,,-3.1388620417742708,-3.4151056944356246,-2.892249230183053,0.5228564642525715
127-00-4,1-Chloro-2-propanol,1,1267,,,,-1.427881011636984,-1.640576009593507,-1.2165672705713972,0.42400873902210967
962-58-3,Diazoxon,2,1267,,,,-3.4804101647189367,-3.672069010824625,-3.2935081981134786,0.37856081271114617
736994-63-1,Cyantraniliprole,2,1267,,,,-2.70005513856386,-2.9063128950802977,-2.5217524914896026,0.3845604035906951
544-77-4,1-iodohexadecane,1,1267,,,,-3.2136703580067723,-3.407010111983477,-3.0296022808224667,0.37740783116101007
29420-49-3,PFBS-K,5,1267,2.594921353902092,3.176902020030067,0.35381912201306454,0.22253814288402207,0.06168840394890385,0.3760767806284911,0.31438837667958724
14064-10-9,Diethyl chloromalonate,1,1267,,,,-2.328076664893982,-2.5039319757463883,-2.1577942496085476,0.34613772613784066
95-93-2,"1,2,4,5-Tetramethylbenzene",2,1267,,,,-1.723567503638328,-1.9019540611225398,-1.5535613209157786,0.34839274020676125
67233-85-6,Sodium 2-methoxy-5-nitrophenolate,1,1267,,,,-1.3887804254096707,-1.5695217148251956,-1.2018450690809825,0.3676766457442131
89-98-5,2-Chlorobenzaldehyde,3,1267,,,,-1.4064053168254067,-1.5493015734627698,-1.2688491599808007,0.28045241348196903
101-55-3,p-Bromodiphenyl ether,4,1267,,,,-2.2004841098633916,-2.332073280687587,-2.0660526588259756,0.26602062186161124
1303-96-4,Borax,2,1267,,,,-1.3908920129370856,-1.6540670480476096,-1.1599136026730845,0.4941534453745251
55-43-6,N-(2-Chloroethyl)dibenzylamine hydrochloride,1,1267,,,,-3.328444083830895,-3.5723721826227917,-3.1020950778053487,0.470277104817443
91-15-6,"1,2-Benzenedicarbonitrile",1,1267,,,,-1.759545269984229,-1.9507221789690674,-1.5735715749407742,0.37715060402829326
112-05-0,Nonanoic acid,1,1267,,,,-1.3346260381279476,-1.516681479049196,-1.1532519805247747,0.3634294985244213
30388-01-3,2-Hydroxypropyl methanethiosulfonate,1,1267,,,,-1.16381500790854,-1.308764786688693,-1.0034860989097087,0.30527868777898415
110-56-5,"1,4-Dichlorobutane",1,1267,,,,-1.1809190893916763,-1.3494415226339078,-1.016684872316979,0.3327566503169288
137-29-1,Copper dimethyldithiocarbamate,2,1267,,,,-2.741678215550051,-2.9077020058107004,-2.5845756096720405,0.3231263961386599
584-79-2,Allethrin,6,1267,-2.3306912749951665,-1.4462321403545915,0.5377129734515087,-2.9100926177178255,-3.029501068385309,-2.8074087022994245,0.22209236608588467
86-40-8,"3,6-Diamino-10-methylacridinium chloride",7,1267,0.9130953132046675,1.1506915449922468,0.14444825235175102,-1.3669735454723937,-1.5159800226764815,-1.2304138208029767,0.2855662018735048
56392-17-7,Metoprolol tartrate,2,1267,,,,-2.9928884030585863,-3.2671807427165573,-2.746306734274328,0.5208740084422292
110-00-9,Furan,1,1267,,,,-1.0697567725621295,-1.257088653247514,-0.8857040813468479,0.3713845719006662
85-41-6,Phthalimide,3,1267,,,,-1.0365117844074274,-1.183006299857442,-0.8824284012785231,0.3005778985789189
10605-21-7,Carbendazim,9,1267,-2.066139866231636,-0.6601315483747718,0.8547923625658544,-2.06258516577677,-2.1915163772821975,-1.939469517348741,0.25204685993345644
78-86-4,2-Chlorobutane,1,1267,,,,-1.8873739544477286,-2.123090659374245,-1.6568527401992776,0.46623791917496726
64-17-5,Ethanol,10,1267,1.2436909634669233,3.0898179758890403,1.122365529778889,0.7879461668987795,0.6002532782954713,0.9662150409732397,0.3659617626777685
2050-76-2,"1-Naphthalenol, 2,4-dichloro-",1,1267,,,,-3.2773792075228636,-3.520964176020532,-3.048658040318429,0.472306135702103
845-52-3,"2,4-Bis((3-methoxypropyl)amino)-6(methylthio)-s-triazine",1,1267,,,,-2.4254460039017953,-2.603625803562377,-2.2582758901367743,0.34534991342560284
306-67-2,Spermine tetrahydrochloride,3,1267,,,,-0.8671025277774798,-1.0317945419489178,-0.7181747206124597,0.31361982133645816
149-30-4,2-Mercaptobenzothiazole,6,1267,-0.6498883914048854,0.19057091002781432,0.5109629742498025,-1.4396473862830925,-1.5601956484430264,-1.3149379643765386,0.24525768406648774
563-12-2,Ethion,14,1267,-3.6629035479540617,-1.4272460177615363,1.3591832692955375,-3.263678183305712,-3.409201818519563,-3.1269591375994783,0.28224268092008487
