,trad,bfm_all,bfm_tested,n_species,d_all,d_tested,d_species_selection,trad_empirical,d_lognormal_assumption
107-11-9,1.0646960529079237,0.9546784559126711,1.344718565498051,11,-0.1100175969952526,0.2800225125901272,-0.3900401095853798,1.2041199826559248,-0.1394239297480011
107-13-1,1.0495529458731925,0.6981502971072224,1.0862181926329328,14,-0.35140264876597005,0.036665246759740366,-0.3880678955257104,1.0606724508961514,-0.011119505022958887
107-49-3,-0.4861986277190675,-0.7600093756767514,0.016222340091178032,7,-0.2738107479576839,0.5024209678102456,-0.7762317157679295,0.019737808983255552,-0.505936436702323
1071-83-6,0.22757310088061034,0.8838513428231676,1.0127393010599535,17,0.6562782419425572,0.7851662001793431,-0.1288879582367859,0.8748538149996478,-0.6472807141190374
108-05-4,1.336016949067388,0.9099570377822696,1.3688084753947167,6,-0.42605991128511855,0.032791526327328624,-0.4588514376124472,1.3754670081067237,-0.03945005903933563
108-18-9,2.686946265007563,1.7224669833276243,2.649195093530148,5,-0.9644792816799386,-0.037751171477415024,-0.9267281102025235,2.689431606268444,-0.0024853412608809577
108-88-3,1.1411458277032542,1.1577248154828745,1.244696741285797,19,0.016578987779620302,0.10355091358254276,-0.08697192580292246,1.2597909029476906,-0.11864507524443635
108-90-7,0.8386324780429594,0.6767613357359702,1.0455542766801815,13,-0.16187114230698918,0.20692179863722215,-0.36879294094421133,0.9988932898115028,-0.16026081176854345
108-95-2,1.0834288028938335,0.9192690372478046,1.065903860091833,59,-0.16415976564602885,-0.017524942802000565,-0.1466348228440283,1.0634128909065634,0.02001591198727004
110-82-7,1.509684561572203,1.1594982071579725,1.7103030114961826,7,-0.3501863544142305,0.2006184499239796,-0.5508048043382101,1.6535236651214826,-0.14383910354927965
110-83-8,0.7260147418827382,0.7732715067819986,1.0233909428407066,5,0.04725676489926045,0.29737620095796846,-0.250119436058708,0.7949182086035572,-0.06890346672081904
110-86-1,2.1818506795509913,1.7825441054413493,2.3452018082820287,12,-0.399306574109642,0.1633511287310374,-0.5626577028406794,2.276541646552501,-0.09469096700150947
111-42-2,1.5207121087692879,1.530195182412516,1.794164105533613,7,0.00948307364322809,0.2734519967643252,-0.2639689231210971,1.854438886868768,-0.33372677809948015
111-70-6,1.4730834183479429,0.9913407592894854,1.5798494535722927,10,-0.4817426590584575,0.1067660352243498,-0.5885086942828073,1.5363685252559278,-0.06328510690798494
111-87-5,0.6830340641806338,0.5527073573360236,0.6480920574350872,6,-0.13032670684461023,-0.034942006745546594,-0.09538470009906364,0.6198643630550154,0.06316970112561848
1114-71-2,0.7866366473703906,0.14787158006879583,0.7793988660373208,5,-0.6387650673015948,-0.007237781333069848,-0.6315272859685249,0.7986484430316804,-0.012011795661289737
114-07-8,0.3023834865320649,0.1484714547935644,0.8488457190845395,5,-0.15391203173850052,0.5464622325524746,-0.7003742642909752,0.9516189660706323,-0.6492354795385674
114-26-1,-1.5656582767040064,-0.8318847457659373,-1.2948456183409565,10,0.7337735309380691,0.2708126583630499,0.46296087257501917,-1.3889061000036291,-0.17675217670037724
115-09-3,-1.536707771690245,-1.8766919533476818,-1.3027663715957511,12,-0.3399841816574367,0.23394140009449393,-0.5739255817519306,-1.3159504862303408,-0.22075728545990425
115-29-7,-3.0778529078715398,-2.697060037878513,-2.8556167230972314,79,0.380792869993027,0.2222361847743084,0.15855668521871857,-3.01830299622427,-0.05954991164726975
115-32-2,-0.4922605344886674,-0.8703736130319609,-0.6148645615128956,12,-0.3781130785432935,-0.12260402702422818,-0.25550905151906533,-0.5406776758909703,0.048417141402302855
115-86-6,-0.17177853122621584,-0.5165093255511233,-0.1644618054323247,6,-0.34473079432490744,0.007316725793891143,-0.3520475201187986,-0.05565903441263735,-0.11611949681357848
116-06-3,-0.7770010894309951,-0.7456971895368549,-0.8915265162760925,13,0.031303899894140175,-0.11452542684509737,0.14582932673923754,-1.0,0.2229989105690049
117-80-6,-1.3266056962392017,-1.3657385661923847,-1.1564734607617815,15,-0.03913286995318299,0.17013223547742018,-0.20926510543060317,-1.2166299048517475,-0.10997579138745417
118-96-7,0.4583671003336456,0.037185135332048744,0.5764565346904701,7,-0.4211819650015968,0.11808943435682451,-0.5392713993584214,0.4530396876048763,0.0053274127287692985
1192-89-8,0.015680166161144204,-0.16634414469956166,-0.012401449366072827,5,-0.18202431086070586,-0.02808161552721703,-0.15394269533348884,-0.02996461518861533,0.045644781349759536
1194-65-6,0.8635051781937906,0.2917802665297724,0.8957482953014745,20,-0.5717249116640182,0.032243117107683905,-0.6039680287717021,0.8782400112130052,-0.014734833019214633
120-82-1,-0.1388643283977884,-0.10485729889574118,0.06434666469502376,8,0.03400702950204722,0.20321099309281215,-0.16920396359076495,-0.18047661029462791,0.04161228189683952
120-83-2,-0.3692176514298141,0.14714675427100166,0.4942126630732465,11,0.5163644057008158,0.8634303145030606,-0.34706590880224486,0.3611609951950261,-0.7303786466248402
120068-37-3,-2.5995859534482975,-2.1061413433935208,-2.137697122300545,12,0.4934446100547767,0.4618888311477525,0.03155577890702421,-2.337956173663287,-0.26162977978501045
1204-21-3,-1.2755545096022436,-1.1975556418255022,-1.2530224628494473,5,0.07799886777674137,0.022532046752796298,0.05546682102394507,-1.2725709569220378,-0.002983552680205781
121-14-2,0.028503077342079908,0.20527497489356047,0.6364716929833111,6,0.17677189755148057,0.6079686156412312,-0.4311967180897506,0.638230902086622,-0.6097278247445421
121-54-0,-0.49054758709676344,-0.2596452339207101,-0.41447276534140837,5,0.23090235317605334,0.07607482175535507,0.15482753142069827,-0.45866377821435933,-0.03188380888240411
121-69-7,1.120292807377829,0.794246428124984,1.3969606429728085,5,-0.3260463792528451,0.2766678355949794,-0.6027142148478245,1.36465599221971,-0.2443631848418808
