CAS,chemical_name,hc20_mean,hc20_median,hc20_std,hc20_min,hc20_max,hc20_ci_lower,hc20_ci_upper,n_species_observed,trad_hc20
643-79-8,"1,2-Benzenedicarboxaldehyde",-1.2349098558660792,-1.2704914200992121,0.38930046851825706,-2.5832833940328777,0.3276315331037626,-1.937280024242169,-0.4361541998907232,,
64359-81-5,"4,5-Dichloro-2-octyl-3(2H)-isothiazolone",-2.1440463382607065,-2.1299445310735443,0.2182165909348771,-2.858506678351549,-1.5272367122787422,-2.5827076561884694,-1.7118812462390376,,
644-06-4,"2H-1-Benzopyran, 6,7-dimethoxy-2,2-dimethyl-",-0.4211476731878095,-0.3842996897702052,0.507863215342675,-2.1596708734187717,1.0411387863803518,-1.4507129375766104,0.4112546489656602,,
6440-58-0,"1,3-Dimethylol-5,5-dimethylhydantoin",0.618741206742882,0.6500007658869049,0.3737261244785408,-0.48488457932834134,1.6508764534083729,-0.13605145004922045,1.296711260745714,,
645-08-9,Isovanillic acid,0.5305078249546955,0.5331779726158233,0.479372841469637,-0.762963898102732,1.9276524971197257,-0.34889849232901177,1.3464108414576053,,
645-56-7,4-Propylphenol,-0.09792220493116535,-0.08972966225849854,0.4870885016122958,-1.5309356814328579,1.3328416576922633,-1.0701444106981135,0.7711024641938607,,
6452-73-9,Oxprenolol hydrochloride,-0.4629112060648917,-0.47353874239857696,0.5667762718466456,-2.6339387336879425,1.111539426158409,-1.56887554166211,0.580658831149272,,
646-06-0,"1,3-Dioxolane",1.7514341662627626,1.790877532888878,0.5149021013048709,-0.44134856068402833,2.9524953894869164,0.6731756628378848,2.702687704268183,,
64628-44-0,Triflumuron,-1.8922390765871324,-1.9178563559956636,0.6176231619226218,-3.573151285128281,-0.09415533868884245,-3.033504625068388,-0.7643673561773116,,
647-42-7,"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctan-1-ol",-0.8050714478620846,-0.7722825418156342,0.6629628911760503,-2.3446718086298173,1.205923660845113,-2.055069448379056,0.49333488704278317,,
64700-56-7,Triclopyr-butotyl,-1.0970718737409202,-1.1014595379069796,0.19913196430478092,-1.6194672447907903,-0.7009347927359177,-1.4552580307793952,-0.7321464242079689,8.0,-0.2393861337271259
6485-40-1,R-(-)-Carvone,0.014775700175782393,-0.006809038889087713,0.5598651744958596,-1.738215286316476,1.4742036332331772,-1.034227526703791,1.0691733716103022,,
64902-72-3,Chlorsulfuron,0.12782543975246757,0.11450758795569917,0.23871094217080174,-0.6332765141676989,0.6454770221159397,-0.34460048795535475,0.564613493602934,,
6491-02-7,3'-Chloro-3-nitrosalicylanilide,-1.4511462916878082,-1.4158326471881377,0.27097815840089784,-2.223282140518236,-0.843374108908119,-2.1033665249215696,-1.0351537154688921,11.0,-0.8778642098930318
65-22-5,Pyridoxal hydrochloride,0.020314408989897795,0.023686900718185737,0.6074848027733898,-1.7180272708326816,1.9092446474612743,-1.1695755223874071,1.1859555321494892,,
65-30-5,Nicotine sulfate,-0.6463758015522051,-0.6251685173568915,0.32149752585200153,-1.5146232741819483,0.07835580612960123,-1.26155790779567,-0.05883463922555988,,
65-45-2,Salicylamide,0.4927337737780353,0.5342751609126304,0.43518551494028296,-0.8109258125428124,1.5706781363916893,-0.36839080995450646,1.3247779308386531,,
65-85-0,Benzoic acid,0.9312218377376634,0.9320961349852068,0.27405446048736865,0.21599735852789956,1.712745854095327,0.40107384222872644,1.424228941208073,,
6515-38-4,"3,5,6-Trichloro-2-pyridinol",-1.4548720599189386,-1.4434473277326814,0.36231911654034665,-2.610387439062805,-0.5967013170256301,-2.2761326124913817,-0.8063990835834336,7.0,-1.5420875812182036
65271-80-9,Mitoxantrone,-0.6446684256352242,-0.6540458565478604,0.45504805916263563,-1.9943054415353036,0.45476609070204965,-1.6041811106653918,0.24284959196508804,,
65277-42-1,Ketoconazole,-1.1935391363079126,-1.1985310808179555,0.5359265455709744,-2.8231063299337653,0.08093502778702218,-2.22573085197821,-0.1972065752528762,,
65281-76-7,14-Chlorodehydroabietic acid,-1.1880422178408179,-1.161529573166705,0.4990899190168024,-2.6117413203079156,-0.005163734750081994,-2.256784578479215,-0.30444015050104667,,
65281-77-8,"12,14-Dichlorodehydroabietic acid",-1.382735175908727,-1.3125831694514196,0.631828616739517,-3.75009333531642,0.6080297422959129,-2.8833785201534146,-0.3710274929432505,,
653-37-2,Pentafluorobenzaldehyde,-0.6739224856208722,-0.6770165469063454,0.40599287992680433,-1.6962059180953344,0.4472651616152329,-1.47621832957149,0.09970573870381037,,
654-66-0,3-Trifluoromethyl-4-nitrophenol sodium salt,-0.14032438811178338,-0.12738105301836014,0.4345374589892046,-1.3788549785264566,1.1447265036460585,-0.9223413372252761,0.7187213211247828,,
657-24-9,Metformin,0.6135229695699164,0.6152721808866621,0.48666613543680304,-0.7790048910757243,1.816988501225593,-0.38943800196124867,1.4470018397283975,,
65733-16-6,S-Methoprene,-0.555625723765388,-0.5169793244301905,0.38286318531396535,-1.6407965174466685,0.6807620980123397,-1.3788374461367638,0.19790800672208556,,
6575-09-3,2-Chloro-6-methylbenzonitrile,-0.15598703204251613,-0.13123550339323264,0.545882194802013,-1.5239789271944872,1.4922238978928533,-1.1365090627189447,0.9231176941392721,,
658066-35-4,Fluopyram,-0.7441101830214132,-0.7318827874708109,0.5186057873413794,-2.5649480409407586,0.42414783039809706,-1.8330949106079315,0.18206105627559016,,
65954-19-0,(Z)-4-Tridecen-1-yl acetate,-0.745730621938194,-0.6729752284535917,0.4614454041135645,-1.9517503908232179,0.8253190806473131,-1.7275423675770425,0.10380619084221313,,
66-22-8,Uracil,0.860747939396945,0.885959403930999,0.6288093921718003,-1.0933534804443947,2.547811529748317,-0.4971490622927384,1.9943350303859604,,
66-25-1,Hexanal,0.2079269786385836,0.1938735332099334,0.26511451076175013,-0.5061472317801063,0.9442576387408959,-0.2630040309395945,0.7243919310402573,,
66-76-2,Dicumarol,-0.7738565718082799,-0.7681859185858768,0.4422709896434153,-1.9918433695068507,0.40375174679421916,-1.585338714017404,0.07529885919584733,,
66-77-3,1-Naphthaldehyde,-0.09356542124872247,-0.1202243580548571,0.6299687789894314,-1.797192402311945,1.9871075118684571,-1.3056679064514156,1.0717501679689732,,
66-81-9,Cycloheximide,-0.4520140522179749,-0.41981194218302953,0.5665002347695752,-1.6502175060219455,1.1529243228706738,-1.4262664360502677,0.6063237967238223,,
66-99-9,2-Naphthalenecarboxaldehyde,-0.06135879807514602,-0.06508629241346764,0.5502593930158435,-1.6558087018227161,1.5176734655544484,-1.1216333383492267,1.0384184590098215,,
6602-32-0,2-Bromo-3-pyridinol,0.19560203004615276,0.1730544479301911,0.5620989911889671,-1.2786810376192437,1.4805593605104872,-0.9942128924990372,1.2177926882523693,,
66215-27-8,Cyromazine,-0.13708681961210054,-0.15089416636370145,0.4071732194221374,-1.072749824415067,1.2231766711354257,-0.9085301466580212,0.722376667176775,,
6623-41-2,"2-Amino-4,5-dimethylphenol",-0.7607453502473525,-0.735064444210416,0.4132629277305794,-2.121153086656616,0.3840032488358338,-1.5404393482556051,0.1298184411885559,,
66230-04-4,Esfenvalerate,-3.981569147516816,-3.96491687702735,0.1709133850162797,-4.538701908169676,-3.5302882459225144,-4.338238501979281,-3.684716919428301,8.0,-3.848765822927759
66267-77-4,B-Fenvalerate,-3.029918872758699,-3.086954497513145,0.3983296260951072,-4.119517028380956,-1.7480572172812434,-3.742017769292894,-2.1341288373804943,,
6629-29-4,"2,4-Diamino-6-nitrotoluene",0.09395264067296136,0.026758017293070018,0.5243919895768772,-1.5756359231807322,1.9432327676946515,-0.8525224956899933,1.1702653910738512,,
66332-96-5,Flutolanil,-0.694276592424099,-0.6915826452831586,0.26699776674817216,-1.4435894097319069,-0.11724732820230252,-1.2413964079879058,-0.2127588920736841,,
6636-78-8,2-Chloro-3-pyridinol,0.4308456580156836,0.44246138221025233,0.6132054307234387,-1.1468790551973402,1.9326822706895954,-0.754773172583101,1.520591402444143,,
66423-09-4,Mecoprop-P-dimethylammonium,0.09675299761721838,0.14321709976208843,0.44273775891805783,-1.7263892551118312,1.2434139509306383,-0.8201815264587428,0.8145925820312082,,
66441-23-4,Fenoxaprop-ethyl,-0.9055848141381359,-0.8834942176825018,0.2508400381139284,-1.6208204354697369,-0.2566166288825213,-1.3704759752116942,-0.4329077335843916,,
6651-36-1,"Silane, (1-cyclohexen-1-yloxy)trimethyl-",-0.07215679280508429,-0.08747331546619684,0.559280839178712,-1.3790653226640013,1.5444362917289105,-1.1046492186879742,1.0445542269992936,,
666-84-2,Abietyl alcohol,-1.0261266738361985,-0.9844510696197685,0.5653459962285874,-3.1523572288062325,0.5825819439601042,-2.258509638361827,-0.06544038878977326,,
66728-50-5,"Propane, 2-(2-methoxyethoxy)-2-methyl-",0.5192207694998884,0.5264747338526001,0.5781700830379987,-1.1552808654006763,1.9507902430786401,-0.5859057494991573,1.7558321296800181,,
66794-75-0,Benzyl neodecanoate,-1.0578338183920055,-1.079079656418539,0.5294993421532397,-2.298260588109712,0.9809426975542254,-2.0386687662673064,0.028781094154315096,,
66841-25-6,Tralomethrin,-3.349114406867934,-3.3438957250434775,0.2745646251478506,-4.1064782707347725,-2.3060025690374,-3.8742233332076053,-2.79840579018026,5.0,-3.1947365650207513
67-03-8,Thiamine hydrochloride,0.07518763374658077,0.079937080302001,0.7145500475309797,-1.7840446396322356,2.1458700181979506,-1.341797953091048,1.472494176685066,,
67-36-7,p-Phenoxybenzaldehyde,-0.5351351564518427,-0.5134893337202405,0.41086917441374016,-2.261228395868425,0.4774117502929005,-1.2567698512015468,0.20791944361057962,,
67-43-6,Pentetic acid,0.304420823858315,0.33233337187052525,0.578136990447919,-1.441416126240726,1.8859199948903855,-0.8216246305577735,1.3144760167803733,,
67-45-8,Furazolidone,-0.7504933742791602,-0.7405472964161971,0.45023519826899494,-2.1769034901288755,0.3995071331724999,-1.7233680434070113,0.10242381549562261,,
67-47-0,5-(Hydroxymethyl)-2-furfural,0.4147979756924958,0.443584545352102,0.41547667184964965,-0.9379619308262261,1.6647817695043667,-0.47796327570562497,1.1188139715863255,,
67-48-1,Choline chloride,1.2033978741054958,1.211447935118061,0.4801207628350053,-0.4245784658619912,2.611272830543608,0.2197971869080385,2.0592430486420916,,
67-56-1,Methanol,2.380245029185771,2.382874030606076,0.1842747440069363,1.8636918185885327,3.0089549899550354,2.0190356292480174,2.727818676506244,11.0,2.7564443103015805
67-63-0,Isopropanol,2.2337071978636605,2.2390766828622413,0.21894831551400096,1.5439546673984963,2.8198749462860215,1.7673464162561785,2.6111508326381876,6.0,3.5049463803568837
67-64-1,Acetone,2.1162069588111314,2.0958072340037903,0.21488506043598013,1.5084115058980943,2.623534403362902,1.7259208570635807,2.54509586090912,19.0,2.065740827435728
67-66-3,Chloroform,0.8368197107651335,0.8518480350824599,0.1512029911901402,0.34450925292928936,1.2780298788549362,0.5334757892023497,1.09858190180026,14.0,1.4417262565069313
67-68-5,Dimethyl sulfoxide,2.5129193935192675,2.5382957884321318,0.33469778231570474,1.1979315491667029,3.3073014699525256,1.8113631420664993,3.1170106842095917,,
67-72-1,Hexachloroethane,-0.5585684626178857,-0.5599376519251058,0.1716509325558736,-1.121974568631953,-0.08522149070680753,-0.8598429550617572,-0.2613245137037155,13.0,0.20139506842220295
67129-08-2,Metazachlor,-0.8627204221872412,-0.8846476464713788,0.5870819502445467,-3.209513481900822,0.7118399410009243,-2.0876939444986387,0.22069536865945283,,
67233-85-6,Sodium 2-methoxy-5-nitrophenolate,0.36295099574690576,0.35084470124087735,0.5094317074256057,-1.1024374857806118,1.6884945543279366,-0.5802095533282225,1.3809045608563433,,
67306-00-7,Fenpropidin,-0.929608773854538,-0.9487321027599479,0.6063375433734657,-2.6602061677098168,0.48734758191483196,-2.057634031234076,0.23142262260788696,,
67375-30-8,alpha-Cypermethrin,-2.927761875533089,-2.8844975630751435,0.29273990455046295,-3.873654737130967,-2.205744571981055,-3.5255063105046243,-2.308965578636492,7.0,-3.475379585574985
67485-29-4,Hydramethylnon,-2.335627182238861,-2.331090844453349,0.22424101727482623,-2.955111586479119,-1.6844438953229248,-2.7165964658579345,-1.901113729086094,5.0,-3.712358997641995
6753-47-5,Picloram triisopropanolamine salt,0.25106247658173847,0.2491177201164206,0.32223716049852874,-0.5862382604297804,0.9528661994172557,-0.37805466521009523,0.8416263053752563,,
67564-91-4,"(2R,6S)-Fenpropimorph",-0.8932224526657729,-0.8996349793176907,0.3707971163563051,-1.8905644820424599,0.21558119349473875,-1.6256388052401434,-0.20930002212755267,,
67747-09-5,Prochloraz,-0.8979785998315571,-0.8873425815216811,0.41013533861739637,-1.9238143602407531,0.29925090301922974,-1.6583947889255244,-0.06443701841655995,,
68-04-2,Trisodium citrate,1.4706239624554658,1.4336911708625595,0.6105542096513417,-0.3951644589105997,3.025186729695795,0.38018580200672464,2.6253762132067133,,
68-11-1,Thioglycolic acid,0.4196328221111854,0.4504848722465831,0.545555622704072,-0.9168679950154538,1.6552794248513143,-0.738352982846217,1.4979120437030677,,
68-12-2,"N,N-Dimethylformamide",2.101946847876956,2.12784322047599,0.2697230822151773,1.2980814208646767,2.78465860230471,1.5326594052770863,2.6059461821037986,5.0,3.5907066128027822
68-22-4,Norethindrone,-0.7195475137280521,-0.6993723115864723,0.5578316421882671,-3.304395366690501,0.6947084158379577,-1.7975824130259672,0.2892923633104788,,
68-35-9,Sulfadiazine,0.026211145791984386,0.06223813977539466,0.37318567783470646,-1.033213273891431,0.8550343303969862,-0.837406857605476,0.6432547861020184,,
680-31-9,Hexamethylphosphoramide,0.5939244467844574,0.5534887945893565,0.6058910555485149,-1.057700879246787,2.2055936982312003,-0.4583901069901713,1.7240562118079972,,
68140-48-7,"1-[2,3-Dihydro-1,1,2,6-tetramethyl-3-(1-methylethyl)-1H-inden-5-yl]ethan-1-one",-0.9835079566475062,-0.9741570369234105,0.5685609511672333,-2.503849877104347,0.7293170890654056,-2.0074713443304617,0.1884210959046275,,
68157-60-8,Forchlorfenuron,-0.3950151696896087,-0.35853500471902033,0.3686707691682674,-1.6208839911601172,0.5133004007282594,-1.095068929123697,0.3035899390550371,,
683-18-1,Dibutyltin dichloride,-0.8656674790504449,-0.9285348667578622,0.5120448370782933,-2.132971742852551,0.4075020481969556,-1.8031915526322795,0.1486722819281296,,
683-72-7,"2,2-Dichloroacetamide",0.5997346838057942,0.644844497611192,0.4888143417430193,-0.6952958444992122,2.0879560926309364,-0.4449492964478399,1.4681911185153838,,
6834-92-0,Sodium metasilicate,1.0946667370570273,1.0740977725878,0.43278431660622174,0.03568703316107975,2.443145365302742,0.2714840490757295,1.939306172579685,,
68359-37-5,Cyfluthrin,-4.06156801504851,-4.066267038219559,0.1711089921400898,-4.462862901954569,-3.555816904982742,-4.384090313982654,-3.734876239513808,8.0,-4.316025859629393
68392-35-8,4-Hydroxytamoxifen,-1.5749163204610754,-1.5820616432678714,0.5999502033954722,-3.2865630122641627,0.15412174136743653,-2.7986991804228327,-0.30960914411141116,,
685-91-6,Diethylacetamide,0.8304767966379747,0.8023026469716749,0.5702735119520321,-0.8778112160685817,2.3189241840756325,-0.23931528146683015,2.0244820709164455,,
68694-11-1,Triflumizole,-1.0259904046101673,-1.015124202124325,0.24338909492135163,-1.6843952949068508,-0.4150311652370068,-1.5415621465326077,-0.57335811068728,,
6876-23-9,"1,trans-2-Dimethylcyclohexane",0.10071472439206212,0.08257016351589702,0.4815271376685532,-1.474295345522747,1.4028528767614403,-0.780950477369727,1.0435459777755822,,
688-73-3,Tributyltin,-1.71499770155853,-1.7518053503866766,0.6924248640099956,-3.4704149953529377,0.06981128158698684,-3.0032509536777585,-0.4368813221275417,,
69-05-6,Quinacrine dihydrochloride,-0.039677378466725255,-0.0001296091448770724,0.39976562696811085,-1.1231057573888499,1.072480892623205,-0.957698518137613,0.636202753657995,6.0,1.6650468773836602
69-53-4,Ampicillin,-0.9479487463619864,-0.9720423619789333,0.6302230096311534,-3.030378487993739,1.3081637771445334,-2.005950005701379,0.33455966486108957,,
69-72-7,Salicylic acid,0.781229337212965,0.7797773652667869,0.37572067518166635,-0.15597287210282063,1.8667494205219732,0.04104302048765006,1.568553627460044,,
69-93-2,Uric acid,0.428486638542484,0.4759162840815435,0.5774283263849174,-1.2637001876696,2.076105814860288,-0.7215212212494212,1.4474946950861036,,
