CAS,chemical_name,hc20_mean,hc20_median,hc20_std,hc20_min,hc20_max,hc20_ci_lower,hc20_ci_upper
86-73-7,Fluorene,-0.5192276742812296,-0.5355686809964625,0.2566565837152011,-1.1671785657887486,0.3537224267099785,-1.0038089292734684,-0.04891723685593451
86-74-8,Carbazole,-0.4251984282360389,-0.42675510176166015,0.43426254261458075,-1.2845846216911418,0.6219842519082084,-1.1575899684859543,0.49388157289549833
86-87-3,1-Naphthaleneacetic acid,0.384265145894768,0.46772291303934066,0.410585819909808,-0.8481034931112038,1.4411352603007075,-0.4673044329350847,1.0662935006229313
86209-51-0,Primisulfuron-methyl,-0.24611494288094882,-0.22381232787946925,0.3950732672829274,-1.2582199073625255,0.6607648834064681,-0.9853018454628274,0.47271867542338974
86393-32-0,Ciprofloxacin hydrochloride hydrate (1:1:1),-0.43861671456533813,-0.4168680288391055,0.5913081052066642,-2.159506357682745,0.7193030678087877,-1.586370582546914,0.6421281353528804
86479-06-3,Hexaflumuron,-2.5853189482101238,-2.577960098838255,0.3617396646057285,-3.727507389687907,-1.765958161622006,-3.3060848631449935,-1.972059235740534
865363-39-9,Dichlorprop-P-2-ethylhexyl,-0.5146607729007142,-0.541109036938074,0.3945567050755651,-1.3520112944700777,0.37135100829339973,-1.2779420195311904,0.20569820639795924
866-55-7,Diethyltindichloride,-0.9509997201778247,-0.878807585049777,0.5863097156447282,-2.6085008471581825,0.2925275833292381,-2.299243122580021,0.07588168119230201
868-77-9,2-Hydroxyethyl methacrylate,0.8410700872154152,0.9002315790272304,0.4219343827645088,-0.24088851317592944,1.6670172357975135,0.024242314499801364,1.5695927154654463
868-85-9,Dimethyl hydrogen phosphite,0.78611700026081,0.804157816492036,0.4536120923821921,-0.6420662932621014,2.048226328325135,-0.09123629759900184,1.5254379418337343
87-17-2,Salicylanilide,-1.6546698750220645,-1.684516515586617,0.33679510113680516,-2.4275386002276,-0.8335689489562125,-2.350091750306975,-0.9657041230320385
87-40-1,"Benzene, 1,3,5-trichloro-2-methoxy-",-0.688277171449687,-0.7206509698039412,0.45022779316781925,-1.9472291676500906,0.3993358601905486,-1.5712353907459677,0.19871919307235808
87-52-5,"1H-Indole-3-methanamine, N,N-dimethyl-",-0.27926677339864264,-0.2239866250954624,0.46281057795409064,-1.7552752757180117,0.573000432916306,-1.2637527147616365,0.5142447192401123
87-59-2,"2,3-Dimethylaniline",0.19292786591101901,0.23764492339108573,0.3535641502370621,-0.7889290991376023,1.070457370058408,-0.6030044335631195,0.8203838130260317
87-61-6,"1,2,3-Trichlorobenzene",-0.7603108492161732,-0.7486120774704661,0.19995400527638998,-1.2985125154207304,-0.3679705475653812,-1.1856283465095758,-0.4395572449210755
87-62-7,"2,6-Dimethylaniline",0.6186210479377862,0.5819214863590976,0.4473064766214733,-0.5093203287149997,1.817518655685556,-0.21111541555716465,1.5240148614998243
87-63-8,6-Chloro-2-methylaniline,-0.6054140682249703,-0.6350351750046646,0.5126718135863219,-2.207311353828896,0.6217211896195775,-1.8345398036786826,0.34563419869533246
87-65-0,"2,6-Dichlorophenol",-0.17997104018470636,-0.1627236270897053,0.211081924837706,-0.5726785799279034,0.32077779452078203,-0.5372242714998013,0.1885600828853131
87-66-1,Pyrogallol,0.24497291842234933,0.23967107685567662,0.35786858528561644,-0.880220923972626,1.093963440704541,-0.46728144956012546,0.881157595217239
87-68-3,"Hexachloro-1,3-butadiene",-1.0694887791509677,-1.0351048798606564,0.23997424468303113,-1.8561829696649599,-0.5951270101706825,-1.6853232589834566,-0.7499059212832233
87-72-9,L-Arabinopyranose,1.932424599656793,1.9796634676860556,0.5020312964110546,0.5954334357983341,3.0581798124833863,0.8616877592206814,2.690854452238098
87-86-5,Pentachlorophenol,-1.2302100809646617,-1.2329058382743812,0.04970409314448255,-1.3390063981480842,-1.0972850937543308,-1.315275933646312,-1.1349220919396643
87-89-8,myo-Inositol,1.2827760827112522,1.3444617750914432,0.6756429887281297,-0.078161580911332,3.1386821917954935,0.24920666542198588,2.645139745939025
87-90-1,Symclosene,-0.8461529448904276,-0.8246168082388405,0.36274755367547085,-1.5964070453801933,0.15398190515332918,-1.47226142088681,-0.21005075479330018
87-91-2,Diethyl L-tartrate,0.8379036209869021,0.8524483741145685,0.42928137816968803,-0.1142276340072099,1.8525772923781143,0.06362879438166064,1.7284200709226825
870-72-4,Sodium hydroxymethanesulfonate,0.9052175021540658,0.9118368852658769,0.43787480401143725,-0.12308456118174164,2.120022276474599,0.11023285606886804,1.8104749533987416
872-31-1,3-Bromothiophene,-0.11571536171103006,-0.056638438505001616,0.488097806456186,-1.6165949452613686,1.0365225906130457,-1.1789262836511214,0.7739327652894792
872-50-4,N-Methyl-2-pyrrolidone,0.886399887647397,0.8847598846591993,0.37725664017528093,-0.04156575832725698,1.6143138719646428,0.16807509030597628,1.5927271592322787
872-85-5,4-Pyridinecarboxaldehyde,0.3579384587777361,0.3905542969344964,0.4609767208932519,-1.1255616513699958,1.351281623069797,-0.5296350675488033,1.1593578259540531
873-63-2,3-Chlorobenzyl alcohol,0.3400352718790487,0.3330958464077069,0.40541250641446536,-0.7102822169254992,1.1912535676851927,-0.3787458646010239,1.0710075744909502
