CAS,chemical_name,hc20_mean,hc20_median,hc20_std,hc20_min,hc20_max,hc20_ci_lower,hc20_ci_upper,hc50_mean,hc50_median,hc50_std,hc50_min,hc50_max,hc50_ci_lower,hc50_ci_upper,hc80_mean,hc80_median,hc80_std,hc80_min,hc80_max,hc80_ci_lower,hc80_ci_upper,n_species_observed,trad_hc20,trad_hc50,trad_hc80
81-54-9,Purpurin,-0.609262046504662,-0.6372903901032281,0.5003377433344679,-1.8070781139745047,1.028223246684886,-1.6332209876838115,0.4543466631954501,0.22464161540454683,0.19518141329231514,0.5202118834736691,-1.0659440930585917,1.8875819133935727,-0.8028834641513721,1.3220384012579771,1.025918094907981,0.990594056500659,0.5425760974795845,-0.40401598445611386,2.7429370145927705,-0.0062653231615904924,2.1881787343275154,,,,
81-61-8,Quinalizarin,-0.7108611552668678,-0.7575879169875734,0.5056515954128377,-1.945353052740871,0.6989778807777166,-1.6762542690082038,0.35446574391256813,0.14401120301253403,0.09695804369035248,0.518595719932704,-1.15545394965432,1.5613753095593252,-0.78049228189518,1.244690827144445,0.9458579594270272,0.913444655540801,0.5372909343321958,-0.4378601381103123,2.4640837887954934,-0.014667918510328374,2.0351450805704134,,,,
81-64-1,"1,4-Dihydroxyanthracene-9,10-dione",-0.7758375071596214,-0.8237499342931549,0.48395870809629216,-2.2645137724010276,0.6051975130656507,-1.6748789282161454,0.24047461420908267,0.07008606145821693,0.019386903534646033,0.4988278082621495,-1.4294388334575934,1.4923171778735256,-0.813988362063315,1.1047958930733701,0.8743831108457267,0.8271498979064782,0.521164195265242,-0.5756316798024882,2.3480117980572843,-0.05237560279305531,1.888936848978147,,,,
81-77-6,Vat Blue 4,-0.701635285929749,-0.6648559844003337,0.5445382970075847,-2.3094346188623374,0.6939652302166388,-1.8560627075471998,0.27515981492275415,0.2747350647310177,0.3086579488396757,0.5616284541684864,-1.3583452879069298,1.66975568148847,-0.9872979520338753,1.281456872820731,1.1966794251793473,1.204034306471642,0.5822847097498728,-0.5602548760209721,2.4598281371234094,-0.015229925795648021,2.276775151814701,,,,
81-81-2,Warfarin,-0.19236632675526097,-0.17752540265497005,0.3043281045964422,-1.114228274971691,0.6642896895193057,-0.8014228015488745,0.3952916769069668,0.7132887247544075,0.7192298749920444,0.2972839624028762,-0.24371517556067654,1.5530397364019892,0.1619296057679828,1.306215085037576,1.5885957549298784,1.583960009141728,0.3172379552653619,0.6273248923286415,2.4892230370088257,0.9955810017672209,2.161284107951224,,,,
81-82-3,Coumachlor,-0.48441662861346246,-0.3964679397260865,0.6471368332727323,-2.466412249637778,1.2597438273649446,-1.8737554227236368,0.6584282763729925,0.4589916055396033,0.5386361103153952,0.6707963638240788,-1.6392323746479558,2.1548141632793736,-1.0042906753028489,1.6452043803440122,1.3422681055786416,1.4096460595527494,0.6952757773949574,-0.7323842767773039,3.024724384426997,-0.14510637583453131,2.5186567527129093,,,,
81-88-9,Rhodamine B,0.08669868903042388,0.10301296724969825,0.28480248186847923,-0.6991691302509843,0.8187252711977344,-0.4671352567334708,0.5988749748342432,1.1823039955645382,1.206203462224869,0.2550912631735685,0.4249797025891906,1.7693081427385948,0.6676844275111125,1.6490445553892619,2.189234140250723,2.1984687682771478,0.23712177871798815,1.500788327901406,2.8811793512562187,1.6983080945523408,2.6192267887956775,9.0,1.2781895332829194,1.7855556774036745,2.2929218215244296
81103-11-9,Clarithromycin,-1.0816063547369839,-1.0902514927577092,0.5227950408263878,-2.699982833700192,0.38286196463149647,-2.176568255244708,-0.13336326239794405,0.03748386710230862,0.04470303314781565,0.5643628782641555,-1.7062388083709579,1.6327231470190606,-1.2115275805972745,1.1969424869638194,1.0763634121148835,1.1006744073358763,0.6117827475173141,-0.8591586199788559,2.698704130925331,-0.2840194499387949,2.2670435856610287,,,,
812-70-4,"2H,2H,3H,3H-Perfluorodecanoic acid",-0.8567249466069883,-0.7952079399831082,0.45381003090998895,-2.291690309662148,0.19573927926704085,-1.7061216856928254,0.04892031760978476,0.11688386480186479,0.15887463743704158,0.4640439042494697,-1.4626071969412475,1.3052296647576909,-0.7302594454564509,1.0376068473607434,1.0494672285541589,1.0807119778417364,0.48387233763608883,-0.5904799033527112,2.307276245954152,0.09573954495947343,1.956465389661188,,,,
813-19-4,Hexabutyldistannane,-2.201620388474806,-2.187923796627424,0.64967659232491,-4.169683105802763,0.15761002248603453,-3.762438508079536,-1.0376122789880997,-1.1555428369712404,-1.1671073496877662,0.6664647086123034,-3.0205612340114314,1.3062615174478305,-2.748033831072505,0.019001538353878716,-0.13522910864706847,-0.14382295275693271,0.6866374991526479,-2.147821006723456,2.402634853349949,-1.773061287989101,1.056405104382745,,,,
